id,site_id,days,close,open
nextval('hibernate_sequence'),10248,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10248,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10252,WEEKDAYS,21:30,06:00
nextval('hibernate_sequence'),10252,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10252,SUNDAY,21:30,07:30
nextval('hibernate_sequence'),10254,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10254,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10254,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10257,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10257,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10257,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10260,WEEKDAYS,21:00,06:00
nextval('hibernate_sequence'),10260,SATURDAY,21:00,07:00
nextval('hibernate_sequence'),10260,SUNDAY,21:00,07:00
nextval('hibernate_sequence'),10264,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10264,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10264,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10265,WEEKDAYS,22:00,05:00
nextval('hibernate_sequence'),10265,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10265,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10266,WEEKDAYS,21:00,06:30
nextval('hibernate_sequence'),10266,SATURDAY,21:00,07:30
nextval('hibernate_sequence'),10266,SUNDAY,21:00,07:30
nextval('hibernate_sequence'),10269,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10269,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10269,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10270,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10270,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10270,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10271,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10271,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10271,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10279,WEEKDAYS,21:00,05:00
nextval('hibernate_sequence'),10279,SATURDAY,21:00,08:00
nextval('hibernate_sequence'),10279,SUNDAY,21:00,08:00
nextval('hibernate_sequence'),10280,WEEKDAYS,22:00,04:30
nextval('hibernate_sequence'),10280,SATURDAY,22:00,06:30
nextval('hibernate_sequence'),10280,SUNDAY,22:00,06:30
nextval('hibernate_sequence'),10282,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10282,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10282,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10289,WEEKDAYS,20:00,05:00
nextval('hibernate_sequence'),10289,SATURDAY,20:00,07:00
nextval('hibernate_sequence'),10289,SUNDAY,20:00,07:00
nextval('hibernate_sequence'),10290,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10290,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10290,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10291,WEEKDAYS,24:00,06:00
nextval('hibernate_sequence'),10291,SATURDAY,24:00,07:00
nextval('hibernate_sequence'),10291,SUNDAY,24:00,07:00
nextval('hibernate_sequence'),10292,WEEKDAYS,20:00,07:00
nextval('hibernate_sequence'),10292,SATURDAY,20:00,07:30
nextval('hibernate_sequence'),10292,SUNDAY,20:00,07:30
nextval('hibernate_sequence'),10295,WEEKDAYS,22:00,07:00
nextval('hibernate_sequence'),10295,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10295,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10296,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10296,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10296,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10299,WEEKDAYS,24:00,06:00
nextval('hibernate_sequence'),10299,SATURDAY,24:00,07:00
nextval('hibernate_sequence'),10299,SUNDAY,24:00,07:00
nextval('hibernate_sequence'),10303,WEEKDAYS,22:00,05:30
nextval('hibernate_sequence'),10303,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10303,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10304,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10304,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10304,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10306,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10306,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10306,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10311,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10311,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10311,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10317,WEEKDAYS,19:00,07:00
nextval('hibernate_sequence'),10317,SATURDAY,14:00,08:00
nextval('hibernate_sequence'),10320,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10320,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10320,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10323,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10323,SATURDAY,23:00,07:30
nextval('hibernate_sequence'),10323,SUNDAY,23:00,07:30
nextval('hibernate_sequence'),10332,WEEKDAYS,19:00,07:00
nextval('hibernate_sequence'),10332,SATURDAY,18:00,07:00
nextval('hibernate_sequence'),10332,SUNDAY,18:00,07:00
nextval('hibernate_sequence'),10333,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10333,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10333,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10344,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10344,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10344,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10347,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10347,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10347,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10351,WEEKDAYS,22:00,07:00
nextval('hibernate_sequence'),10351,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10351,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10356,WEEKDAYS,21:00,07:00
nextval('hibernate_sequence'),10356,SATURDAY,20:00,08:00
nextval('hibernate_sequence'),10356,SUNDAY,21:00,09:00
nextval('hibernate_sequence'),10359,WEEKDAYS,21:00,07:30
nextval('hibernate_sequence'),10359,SATURDAY,21:00,08:00
nextval('hibernate_sequence'),10359,SUNDAY,21:00,08:00
nextval('hibernate_sequence'),10367,WEEKDAYS,21:00,06:00
nextval('hibernate_sequence'),10367,SATURDAY,21:00,08:00
nextval('hibernate_sequence'),10367,SUNDAY,21:00,08:00
nextval('hibernate_sequence'),10368,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10368,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10368,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10372,WEEKDAYS,24:00,05:30
nextval('hibernate_sequence'),10372,SATURDAY,01:00,06:30
nextval('hibernate_sequence'),10372,SUNDAY,24:00,06:30
nextval('hibernate_sequence'),10373,WEEKDAYS,23:00,05:30
nextval('hibernate_sequence'),10373,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10373,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10374,WEEKDAYS,20:00,07:00
nextval('hibernate_sequence'),10374,SATURDAY,20:00,07:00
nextval('hibernate_sequence'),10374,SUNDAY,20:00,08:00
nextval('hibernate_sequence'),10378,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10378,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10378,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10383,WEEKDAYS,23:00,05:00
nextval('hibernate_sequence'),10383,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10383,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10391,WEEKDAYS,21:00,06:00
nextval('hibernate_sequence'),10391,SATURDAY,21:00,06:00
nextval('hibernate_sequence'),10391,SUNDAY,21:00,06:00
nextval('hibernate_sequence'),10393,WEEKDAYS,23:00,05:30
nextval('hibernate_sequence'),10393,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10393,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10396,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10396,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10396,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10403,WEEKDAYS,22:00,07:00
nextval('hibernate_sequence'),10403,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10403,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10426,WEEKDAYS,22:00,07:00
nextval('hibernate_sequence'),10426,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10426,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10428,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10428,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10428,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10432,WEEKDAYS,22:00,04:30
nextval('hibernate_sequence'),10432,SATURDAY,22:00,05:30
nextval('hibernate_sequence'),10432,SUNDAY,22:00,06:30
nextval('hibernate_sequence'),10437,WEEKDAYS,19:00,05:30
nextval('hibernate_sequence'),10437,SATURDAY,19:00,06:30
nextval('hibernate_sequence'),10437,SUNDAY,19:00,06:30
nextval('hibernate_sequence'),10440,WEEKDAYS,22:00,05:30
nextval('hibernate_sequence'),10440,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10440,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10441,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10441,SATURDAY,23:00,07:30
nextval('hibernate_sequence'),10441,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10442,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10442,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10442,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10443,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10443,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10443,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10444,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10444,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10444,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10452,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10452,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10452,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10453,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10453,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10453,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10454,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10454,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10454,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10456,WEEKDAYS,21:00,07:00
nextval('hibernate_sequence'),10456,SATURDAY,21:00,07:30
nextval('hibernate_sequence'),10456,SUNDAY,21:00,07:30
nextval('hibernate_sequence'),10457,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10457,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10457,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10458,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10458,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10458,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10459,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10459,SATURDAY,23:00,08:00
nextval('hibernate_sequence'),10459,SUNDAY,23:00,08:00
nextval('hibernate_sequence'),10460,WEEKDAYS,21:00,05:30
nextval('hibernate_sequence'),10460,SATURDAY,21:00,07:00
nextval('hibernate_sequence'),10460,SUNDAY,21:00,07:00
nextval('hibernate_sequence'),10461,WEEKDAYS,20:00,06:30
nextval('hibernate_sequence'),10461,SATURDAY,19:00,08:00
nextval('hibernate_sequence'),10461,SUNDAY,19:00,08:00
nextval('hibernate_sequence'),10462,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10462,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10462,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10464,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10464,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10464,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10466,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10466,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10466,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10467,WEEKDAYS,21:00,07:00
nextval('hibernate_sequence'),10467,SATURDAY,21:00,08:00
nextval('hibernate_sequence'),10467,SUNDAY,21:00,08:00
nextval('hibernate_sequence'),10469,WEEKDAYS,20:00,07:00
nextval('hibernate_sequence'),10469,SATURDAY,20:00,08:00
nextval('hibernate_sequence'),10469,SUNDAY,20:00,08:00
nextval('hibernate_sequence'),10498,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10498,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10498,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10503,WEEKDAYS,21:00,06:30
nextval('hibernate_sequence'),10503,SATURDAY,21:00,07:30
nextval('hibernate_sequence'),10503,SUNDAY,21:00,08:00
nextval('hibernate_sequence'),10504,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10504,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10504,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10505,WEEKDAYS,18:00,07:00
nextval('hibernate_sequence'),10505,SATURDAY,13:00,08:00
nextval('hibernate_sequence'),10505,SUNDAY,12:00,08:00
nextval('hibernate_sequence'),10510,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10510,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10510,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10511,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10511,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10511,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10518,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10518,SATURDAY,24:00,06:00
nextval('hibernate_sequence'),10518,SUNDAY,23:00,06:00
nextval('hibernate_sequence'),10521,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10521,SATURDAY,24:00,06:00
nextval('hibernate_sequence'),10521,SUNDAY,23:00,06:00
nextval('hibernate_sequence'),10522,WEEKDAYS,23:00,06:30
nextval('hibernate_sequence'),10522,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10522,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10525,WEEKDAYS,22:30,06:00
nextval('hibernate_sequence'),10525,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10525,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10530,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10530,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10530,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10535,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10535,SATURDAY,24:00,07:00
nextval('hibernate_sequence'),10535,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10553,WEEKDAYS,22:00,07:00
nextval('hibernate_sequence'),10553,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10553,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10567,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10567,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10567,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10601,WEEKDAYS,24:00,06:00
nextval('hibernate_sequence'),10601,SATURDAY,24:00,07:00
nextval('hibernate_sequence'),10601,SUNDAY,24:00,07:00
nextval('hibernate_sequence'),10603,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10603,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10603,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10610,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10610,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10610,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10615,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10615,SATURDAY,21:00,07:00
nextval('hibernate_sequence'),10615,SUNDAY,21:00,07:00
nextval('hibernate_sequence'),10622,WEEKDAYS,21:00,07:00
nextval('hibernate_sequence'),10622,SATURDAY,21:00,08:00
nextval('hibernate_sequence'),10622,SUNDAY,21:00,08:00
nextval('hibernate_sequence'),10626,WEEKDAYS,21:00,06:00
nextval('hibernate_sequence'),10626,SATURDAY,21:00,07:00
nextval('hibernate_sequence'),10626,SUNDAY,21:00,07:00
nextval('hibernate_sequence'),10656,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10656,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10656,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10667,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10667,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10667,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10670,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10670,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10670,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10674,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10674,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10674,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10690,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10690,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10690,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10694,WEEKDAYS,22:00,07:00
nextval('hibernate_sequence'),10694,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10694,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10705,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10705,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10705,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10708,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10708,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10708,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10724,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10724,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10724,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10725,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10725,SATURDAY,22:00,08:00
nextval('hibernate_sequence'),10725,SUNDAY,22:00,08:00
nextval('hibernate_sequence'),10729,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10729,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10729,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10732,WEEKDAYS,19:00,06:00
nextval('hibernate_sequence'),10732,SATURDAY,16:00,08:00
nextval('hibernate_sequence'),10750,WEEKDAYS,22:00,07:00
nextval('hibernate_sequence'),10750,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10750,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10760,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10760,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10760,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10765,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10765,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10765,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10771,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10771,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10771,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10776,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10776,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10776,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10779,WEEKDAYS,23:00,06:00
nextval('hibernate_sequence'),10779,SATURDAY,23:00,07:00
nextval('hibernate_sequence'),10779,SUNDAY,23:00,07:00
nextval('hibernate_sequence'),10783,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10783,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10783,SUNDAY,22:00,07:00
nextval('hibernate_sequence'),10785,WEEKDAYS,24:00,06:00
nextval('hibernate_sequence'),10785,SATURDAY,24:00,07:00
nextval('hibernate_sequence'),10785,SUNDAY,24:00,07:00
nextval('hibernate_sequence'),10790,WEEKDAYS,21:00,07:00
nextval('hibernate_sequence'),10790,SATURDAY,21:00,08:00
nextval('hibernate_sequence'),10790,SUNDAY,21:00,08:00
nextval('hibernate_sequence'),10799,WEEKDAYS,23:00,05:30
nextval('hibernate_sequence'),10799,SATURDAY,23:00,05:30
nextval('hibernate_sequence'),10799,SUNDAY,23:00,05:30
nextval('hibernate_sequence'),10801,WEEKDAYS,22:00,06:30
nextval('hibernate_sequence'),10801,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10801,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10802,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10802,SATURDAY,22:00,07:30
nextval('hibernate_sequence'),10802,SUNDAY,22:00,07:30
nextval('hibernate_sequence'),10807,WEEKDAYS,23:00,05:00
nextval('hibernate_sequence'),10807,SATURDAY,23:00,06:30
nextval('hibernate_sequence'),10807,SUNDAY,23:00,06:30
nextval('hibernate_sequence'),10809,WEEKDAYS,22:00,06:00
nextval('hibernate_sequence'),10809,SATURDAY,22:00,07:00
nextval('hibernate_sequence'),10809,SUNDAY,22:00,07:00
